scenario,interarrival_time,mean,std_dev,ci_lower,ci_upper,metric
0,4.0,0.8589004779001291,0.17426548264689465,0.6425213019678768,1.0752796538323814,mean_utilisation_tw
1,4.5,0.7804029893084528,0.20216184949011834,0.5293858989862843,1.0314200796306212,mean_utilisation_tw
2,5.0,0.7280467614844883,0.23282211721993223,0.4389599205469213,1.0171336024220554,mean_utilisation_tw
3,5.5,0.7001932673258958,0.253270557423119,0.38571633436860925,1.0146702002831824,mean_utilisation_tw
4,6.0,0.668525401938313,0.2513879951918314,0.3563859787279944,0.9806648251486316,mean_utilisation_tw
5,6.5,0.6325997460989062,0.25615837697329175,0.3145371115728612,0.9506623806249512,mean_utilisation_tw
6,7.0,0.614080653432755,0.2578948983214237,0.2938618428666222,0.9342994639988877,mean_utilisation_tw
